trialNum,  rise1, rise2, ampl1, ampl2, resp, correct, standard, stepsize_Perc, reversal,  rise_diff_perc, type1,20,64,0.5,0.5,2,1,1,0.25,0,2.2089,2
2,64,20,0.5,0.5,1,1,2,0.25,0,2.2089,2
3,20,53,0.5,0.5,1,0,1,0.25,1,1.6567,2
4,61,20,0.5,0.5,2,0,2,0.25,0,2.0708,2
5,20,71,0.5,0.5,1,0,1,0.25,0,2.5886,2
6,20,84,0.5,0.5,2,1,1,0.25,1,3.2357,2
7,84,20,0.5,0.5,1,1,2,0.125,0,3.2357,2
8,76,20,0.5,0.5,1,1,2,0.125,0,2.8312,2
9,20,76,0.5,0.5,2,1,1,0.125,0,2.8312,2
10,69,20,0.5,0.5,2,0,2,0.125,1,2.4773,2
11,75,20,0.5,0.5,1,1,2,0.125,1,2.787,2
12,75,20,0.5,0.5,1,1,2,0.0625,0,2.787,2
13,20,72,0.5,0.5,2,1,1,0.0625,0,2.6128,2
14,72,20,0.5,0.5,1,1,2,0.0625,0,2.6128,2
15,68,20,0.5,0.5,1,1,2,0.0625,0,2.4495,2
16,20,68,0.5,0.5,2,1,1,0.0625,0,2.4495,2
17,20,65,0.5,0.5,1,0,1,0.0625,1,2.2964,2
18,20,68,0.5,0.5,2,1,1,0.0625,1,2.4399,2
19,68,20,0.5,0.5,2,0,2,0.03125,1,2.4399,2
20,20,70,0.5,0.5,2,1,1,0.03125,1,2.5162,2
21,20,70,0.5,0.5,1,0,1,0.015625,1,2.5162,2
